event_id,event,driver_id,driver,predicted_pos,actual_pos,error,chaos_score,race_category,driver_affected
55,2025 R3 Japanese Grand Prix,1,Max Verstappen,1.0,1,0.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.0,clean,False
80,2025 R12 British Grand Prix,18,Oscar Piastri,1.0,2,1.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,11,Lando Norris,1.0,1,0.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,6,George Russell,1.0,1,0.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,11,Lando Norris,1.0,1,0.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,1,Max Verstappen,1.0,1,0.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,1,Max Verstappen,1.0,4,3.0,1.0,chaotic,False
57,2025 R5 Saudi Arabian Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.4,moderate,False
54,2025 R1 Australian Grand Prix,11,Lando Norris,1.0,1,0.0,1.5,chaotic,False
82,2025 R14 Hungarian Grand Prix,11,Lando Norris,1.0,1,0.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,18,Oscar Piastri,1.0,1,0.0,0.75,chaotic,False
84,2025 R16 Italian Grand Prix,1,Max Verstappen,1.0,1,0.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,1,Max Verstappen,1.0,1,0.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,6,George Russell,1.0,1,0.0,0.0,clean,False
87,2025 R19 United States Grand Prix,1,Max Verstappen,1.0,1,0.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,11,Lando Norris,1.0,1,0.0,1.0,chaotic,False
90,2025 R22 Las Vegas Grand Prix,11,Lando Norris,1.0,19,18.0,0.8499999999999999,chaotic,True
55,2025 R3 Japanese Grand Prix,11,Lando Norris,2.0,2,0.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,6,George Russell,2.0,2,0.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,11,Lando Norris,2.0,2,0.0,0.0,clean,False
80,2025 R12 British Grand Prix,11,Lando Norris,2.0,1,1.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,18,Oscar Piastri,2.0,2,0.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,1,Max Verstappen,2.0,2,0.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,11,Lando Norris,2.0,2,0.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,3,Charles Leclerc,2.0,2,0.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,18,Oscar Piastri,2.0,3,1.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,11,Lando Norris,2.0,2,0.0,1.0,chaotic,False
57,2025 R5 Saudi Arabian Grand Prix,1,Max Verstappen,2.0,2,0.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,11,Lando Norris,2.0,2,0.0,0.4,moderate,False
54,2025 R1 Australian Grand Prix,1,Max Verstappen,2.0,2,0.0,1.5,chaotic,False
82,2025 R14 Hungarian Grand Prix,18,Oscar Piastri,2.0,2,0.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,11,Lando Norris,2.0,18,16.0,0.75,chaotic,True
84,2025 R16 Italian Grand Prix,11,Lando Norris,2.0,2,0.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,29,Kimi Antonelli,2.0,4,2.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,1,Max Verstappen,2.0,2,0.0,0.0,clean,False
87,2025 R19 United States Grand Prix,11,Lando Norris,2.0,2,0.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,3,Charles Leclerc,2.0,2,0.0,1.0,chaotic,False
90,2025 R22 Las Vegas Grand Prix,1,Max Verstappen,2.0,1,1.0,0.8499999999999999,chaotic,False
55,2025 R3 Japanese Grand Prix,18,Oscar Piastri,3.0,3,0.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,3,Charles Leclerc,3.0,4,1.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,3,Charles Leclerc,3.0,3,0.0,0.0,clean,False
80,2025 R12 British Grand Prix,6,George Russell,3.0,10,7.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,3,Charles Leclerc,3.0,3,0.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,18,Oscar Piastri,3.0,4,1.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,1,Max Verstappen,3.0,10,7.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,18,Oscar Piastri,3.0,3,0.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,11,Lando Norris,3.0,2,1.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,18,Oscar Piastri,3.0,1,2.0,1.0,chaotic,False
57,2025 R5 Saudi Arabian Grand Prix,3,Charles Leclerc,3.0,3,0.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,6,George Russell,3.0,3,0.0,0.4,moderate,False
54,2025 R1 Australian Grand Prix,6,George Russell,3.0,3,0.0,1.5,chaotic,False
82,2025 R14 Hungarian Grand Prix,6,George Russell,3.0,3,0.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,1,Max Verstappen,3.0,2,1.0,0.75,chaotic,False
84,2025 R16 Italian Grand Prix,18,Oscar Piastri,3.0,3,0.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,4,Carlos Sainz,3.0,3,0.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,18,Oscar Piastri,3.0,4,1.0,0.0,clean,False
87,2025 R19 United States Grand Prix,3,Charles Leclerc,3.0,3,0.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,7,Lewis Hamilton,3.0,8,5.0,1.0,chaotic,False
90,2025 R22 Las Vegas Grand Prix,18,Oscar Piastri,3.0,20,17.0,0.8499999999999999,chaotic,True
55,2025 R3 Japanese Grand Prix,3,Charles Leclerc,4.0,4,0.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,11,Lando Norris,4.0,3,1.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,1,Max Verstappen,4.0,4,0.0,0.0,clean,False
80,2025 R12 British Grand Prix,3,Charles Leclerc,4.0,14,10.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,7,Lewis Hamilton,4.0,4,0.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,29,Kimi Antonelli,4.0,3,1.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,6,George Russell,4.0,4,0.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,1,Max Verstappen,4.0,4,0.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,6,George Russell,4.0,7,3.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,6,George Russell,4.0,3,1.0,1.0,chaotic,False
57,2025 R5 Saudi Arabian Grand Prix,6,George Russell,4.0,5,1.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,1,Max Verstappen,4.0,4,0.0,0.4,moderate,False
54,2025 R1 Australian Grand Prix,18,Oscar Piastri,4.0,9,5.0,1.5,chaotic,False
82,2025 R14 Hungarian Grand Prix,3,Charles Leclerc,4.0,4,0.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,6,George Russell,4.0,4,0.0,0.75,chaotic,False
84,2025 R16 Italian Grand Prix,3,Charles Leclerc,4.0,4,0.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,6,George Russell,4.0,2,2.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,29,Kimi Antonelli,4.0,5,1.0,0.0,clean,False
87,2025 R19 United States Grand Prix,6,George Russell,4.0,6,2.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,6,George Russell,4.0,7,3.0,1.0,chaotic,False
90,2025 R22 Las Vegas Grand Prix,6,George Russell,4.0,2,2.0,0.8499999999999999,chaotic,False
55,2025 R3 Japanese Grand Prix,6,George Russell,5.0,5,0.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,29,Kimi Antonelli,5.0,11,6.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,6,George Russell,5.0,5,0.0,0.0,clean,False
80,2025 R12 British Grand Prix,7,Lewis Hamilton,5.0,4,1.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,6,George Russell,5.0,5,0.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,3,Charles Leclerc,5.0,5,0.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,3,Charles Leclerc,5.0,3,2.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,7,Lewis Hamilton,5.0,5,0.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,4,Carlos Sainz,5.0,8,3.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,29,Kimi Antonelli,5.0,6,1.0,1.0,chaotic,False
57,2025 R5 Saudi Arabian Grand Prix,11,Lando Norris,5.0,4,1.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,7,Lewis Hamilton,5.0,19,14.0,0.4,moderate,True
54,2025 R1 Australian Grand Prix,15,Alexander Albon,5.0,5,0.0,1.5,chaotic,False
82,2025 R14 Hungarian Grand Prix,5,Fernando Alonso,5.0,5,0.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,3,Charles Leclerc,5.0,19,14.0,0.75,chaotic,True
84,2025 R16 Italian Grand Prix,7,Lewis Hamilton,5.0,6,1.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,11,Lando Norris,5.0,7,2.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,11,Lando Norris,5.0,3,2.0,0.0,clean,False
87,2025 R19 United States Grand Prix,18,Oscar Piastri,5.0,5,0.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,1,Max Verstappen,5.0,3,2.0,1.0,chaotic,False
90,2025 R22 Las Vegas Grand Prix,4,Carlos Sainz,5.0,5,0.0,0.8499999999999999,chaotic,False
55,2025 R3 Japanese Grand Prix,29,Kimi Antonelli,6.0,6,0.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,1,Max Verstappen,6.0,6,0.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,15,Alexander Albon,6.0,6,0.0,0.0,clean,False
80,2025 R12 British Grand Prix,1,Max Verstappen,6.0,5,1.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,25,Liam Lawson,6.0,6,0.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,7,Lewis Hamilton,6.0,6,0.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,7,Lewis Hamilton,6.0,6,0.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,23,Isack Hadjar,6.0,6,0.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,15,Alexander Albon,6.0,5,1.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,3,Charles Leclerc,6.0,7,1.0,1.0,chaotic,False
57,2025 R5 Saudi Arabian Grand Prix,29,Kimi Antonelli,6.0,6,0.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,29,Kimi Antonelli,6.0,6,0.0,0.4,moderate,False
54,2025 R1 Australian Grand Prix,3,Charles Leclerc,6.0,8,2.0,1.5,chaotic,False
82,2025 R14 Hungarian Grand Prix,8,Lance Stroll,6.0,7,1.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,7,Lewis Hamilton,6.0,20,14.0,0.75,chaotic,True
84,2025 R16 Italian Grand Prix,6,George Russell,6.0,5,1.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,25,Liam Lawson,6.0,5,1.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,7,Lewis Hamilton,6.0,8,2.0,0.0,clean,False
87,2025 R19 United States Grand Prix,7,Lewis Hamilton,6.0,4,2.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,29,Kimi Antonelli,6.0,6,0.0,1.0,chaotic,False
90,2025 R22 Las Vegas Grand Prix,25,Liam Lawson,6.0,14,8.0,0.8499999999999999,chaotic,False
55,2025 R3 Japanese Grand Prix,7,Lewis Hamilton,7.0,7,0.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,20,Pierre Gasly,7.0,7,0.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,7,Lewis Hamilton,7.0,7,0.0,0.0,clean,False
80,2025 R12 British Grand Prix,29,Kimi Antonelli,7.0,16,9.0,1.0,chaotic,True
79,2025 R11 Austrian Grand Prix,5,Fernando Alonso,7.0,7,0.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,11,Lando Norris,7.0,18,11.0,0.75,chaotic,True
77,2025 R9 Spanish Grand Prix,29,Kimi Antonelli,7.0,18,11.0,0.5263157894736842,moderate,True
59,2025 R8 Monaco Grand Prix,9,Esteban Ocon,7.0,7,0.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,3,Charles Leclerc,7.0,6,1.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,15,Alexander Albon,7.0,5,2.0,1.0,chaotic,False
57,2025 R5 Saudi Arabian Grand Prix,7,Lewis Hamilton,7.0,7,0.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,3,Charles Leclerc,7.0,18,11.0,0.4,moderate,True
54,2025 R1 Australian Grand Prix,7,Lewis Hamilton,7.0,10,3.0,1.5,chaotic,False
82,2025 R14 Hungarian Grand Prix,1,Max Verstappen,7.0,9,2.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,23,Isack Hadjar,7.0,3,4.0,0.75,chaotic,False
84,2025 R16 Italian Grand Prix,29,Kimi Antonelli,7.0,8,1.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,18,Oscar Piastri,7.0,20,13.0,0.25,moderate,True
86,2025 R18 Singapore Grand Prix,3,Charles Leclerc,7.0,6,1.0,0.0,clean,False
87,2025 R19 United States Grand Prix,29,Kimi Antonelli,7.0,13,6.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,18,Oscar Piastri,7.0,5,2.0,1.0,chaotic,False
90,2025 R22 Las Vegas Grand Prix,5,Fernando Alonso,7.0,11,4.0,0.8499999999999999,chaotic,False
55,2025 R3 Japanese Grand Prix,23,Isack Hadjar,8.0,8,0.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,7,Lewis Hamilton,8.0,5,3.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,25,Liam Lawson,8.0,8,0.0,0.0,clean,False
80,2025 R12 British Grand Prix,20,Pierre Gasly,8.0,6,2.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,1,Max Verstappen,8.0,18,10.0,0.75,chaotic,True
78,2025 R10 Canadian Grand Prix,5,Fernando Alonso,8.0,7,1.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,23,Isack Hadjar,8.0,7,1.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,25,Liam Lawson,8.0,8,0.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,7,Lewis Hamilton,8.0,4,4.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,4,Carlos Sainz,8.0,9,1.0,1.0,chaotic,False
57,2025 R5 Saudi Arabian Grand Prix,4,Carlos Sainz,8.0,8,0.0,0.5,moderate,False
61,2025 R2 Chinese Grand Prix,9,Esteban Ocon,8.0,5,3.0,0.4,moderate,False
54,2025 R1 Australian Grand Prix,14,Yuki Tsunoda,8.0,12,4.0,1.5,chaotic,False
82,2025 R14 Hungarian Grand Prix,24,Gabriel Bortoleto,8.0,6,2.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,25,Liam Lawson,8.0,12,4.0,0.75,chaotic,False
84,2025 R16 Italian Grand Prix,24,Gabriel Bortoleto,8.0,9,1.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,14,Yuki Tsunoda,8.0,6,2.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,26,Oliver Bearman,8.0,9,1.0,0.0,clean,False
87,2025 R19 United States Grand Prix,26,Oliver Bearman,8.0,9,1.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,4,Carlos Sainz,8.0,17,9.0,1.0,chaotic,True
90,2025 R22 Las Vegas Grand Prix,3,Charles Leclerc,8.0,4,4.0,0.8499999999999999,chaotic,False
55,2025 R3 Japanese Grand Prix,26,Oliver Bearman,9.0,10,1.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,14,Yuki Tsunoda,9.0,9,0.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,14,Yuki Tsunoda,9.0,13,4.0,0.0,clean,False
80,2025 R12 British Grand Prix,5,Fernando Alonso,9.0,9,0.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,20,Pierre Gasly,9.0,13,4.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,14,Yuki Tsunoda,9.0,12,3.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,20,Pierre Gasly,9.0,8,1.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,6,George Russell,9.0,11,2.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,20,Pierre Gasly,9.0,13,4.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,7,Lewis Hamilton,9.0,8,1.0,1.0,chaotic,False
57,2025 R5 Saudi Arabian Grand Prix,20,Pierre Gasly,9.0,20,11.0,0.5,moderate,True
61,2025 R2 Chinese Grand Prix,15,Alexander Albon,9.0,7,2.0,0.4,moderate,False
54,2025 R1 Australian Grand Prix,20,Pierre Gasly,9.0,11,2.0,1.5,chaotic,False
82,2025 R14 Hungarian Grand Prix,25,Liam Lawson,9.0,8,1.0,0.25,moderate,False
83,2025 R15 Dutch Grand Prix,5,Fernando Alonso,9.0,8,1.0,0.75,chaotic,False
84,2025 R16 Italian Grand Prix,5,Fernando Alonso,9.0,19,10.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,3,Charles Leclerc,9.0,9,0.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,5,Fernando Alonso,9.0,7,2.0,0.0,clean,False
87,2025 R19 United States Grand Prix,5,Fernando Alonso,9.0,10,1.0,0.25,moderate,False
88,2025 R20 Mexico City Grand Prix,26,Oliver Bearman,9.0,4,5.0,1.0,chaotic,False
90,2025 R22 Las Vegas Grand Prix,23,Isack Hadjar,9.0,6,3.0,0.8499999999999999,chaotic,False
55,2025 R3 Japanese Grand Prix,20,Pierre Gasly,10.0,13,3.0,0.0,clean,False
56,2025 R4 Bahrain Grand Prix,9,Esteban Ocon,10.0,8,2.0,0.30000000000000004,moderate,False
81,2025 R13 Belgian Grand Prix,24,Gabriel Bortoleto,10.0,9,1.0,0.0,clean,False
80,2025 R12 British Grand Prix,26,Oliver Bearman,10.0,11,1.0,1.0,chaotic,False
79,2025 R11 Austrian Grand Prix,24,Gabriel Bortoleto,10.0,8,2.0,0.75,chaotic,False
78,2025 R10 Canadian Grand Prix,10,Nico Hulkenberg,10.0,8,2.0,0.75,chaotic,False
77,2025 R9 Spanish Grand Prix,5,Fernando Alonso,10.0,9,1.0,0.5263157894736842,moderate,False
59,2025 R8 Monaco Grand Prix,15,Alexander Albon,10.0,9,1.0,0.5,moderate,False
58,2025 R7 Emilia Romagna Grand Prix,23,Isack Hadjar,10.0,9,1.0,0.5,moderate,False
60,2025 R6 Miami Grand Prix,9,Esteban Ocon,10.0,12,2.0,1.0,chaotic,False
57,2025 R5 Saudi Arabian Grand Prix,14,Yuki Tsunoda,10.0,19,9.0,0.5,moderate,True
61,2025 R2 Chinese Grand Prix,23,Isack Hadjar,10.0,11,1.0,0.4,moderate,False
54,2025 R1 Australian Grand Prix,4,Carlos Sainz,10.0,18,8.0,1.5,chaotic,True
82,2025 R14 Hungarian Grand Prix,26,Oliver Bearman,10.0,20,10.0,0.25,moderate,True
83,2025 R15 Dutch Grand Prix,4,Carlos Sainz,10.0,13,3.0,0.75,chaotic,False
84,2025 R16 Italian Grand Prix,14,Yuki Tsunoda,10.0,13,3.0,0.0,clean,False
85,2025 R17 Azerbaijan Grand Prix,23,Isack Hadjar,10.0,10,0.0,0.25,moderate,False
86,2025 R18 Singapore Grand Prix,10,Nico Hulkenberg,10.0,20,10.0,0.0,clean,False
87,2025 R19 United States Grand Prix,4,Carlos Sainz,10.0,20,10.0,0.25,moderate,True
88,2025 R20 Mexico City Grand Prix,5,Fernando Alonso,10.0,18,8.0,1.0,chaotic,True
90,2025 R22 Las Vegas Grand Prix,10,Nico Hulkenberg,10.0,7,3.0,0.8499999999999999,chaotic,False
